Model,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Training Time (s),Inference (ms),CV F1-Score
LightGBM,99.99924902980428,99.99924904108323,99.99924902980428,99.99924902980423,46.595629930496216,0.0010364762699752628,99.99950898073594
RandomForest,99.99797815716536,99.99797823891902,99.99797815716536,99.99797815716454,399.6923177242279,0.0017022974768526582,
GradientBoosting,99.99780485635095,99.99780494284269,99.99780485635095,99.99780485635002,1607.3831861019135,0.004237659571274921,99.99835364148272
